,index,Position,Age,Name,Goals,Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xA,npxG+xA,Shots Total,Shots on target,Shots on target %,Goals/Shot,Goals/Shot on target,Average Shot Distance,Shots from free kicks,npxG/Sh,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Live-ball passes,Dead-ball passes,Passes from Free Kicks,Through Balls,Passes Under Pressure,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Ground passes,Low Passes,High Passes,Passes Attempted (Left),Passes Attempted (Right),Passes Attempted (Head),Throw-Ins taken,Passes Attempted (Other),Passes Offside,Passes Out of Bounds,Passes Intercepted,Passes Blocked,Shot-Creating Actions,SCA (PassLive),SCA (PassDead),SCA (Drib),SCA (Sh),SCA (Fld),SCA (Def),Goal-Creating Actions,GCA (PassLive),GCA (PassDead),GCA (Drib),GCA (Sh),GCA (Fld),GCA (Def),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Contested,% of dribblers tackled,Dribbled Past,Pressures,Successful Pressures,Successful Pressure %,Pressures (Def 3rd),Pressures (Mid 3rd),Pressures (Att 3rd),Blocks,Shots Blocked,Shots Saved,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Dribbles Completed,Dribbles Attempted,Successful Dribble %,Players Dribbled Past,Nutmegs,Carries,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Pass Targets,Passes Received,Passes Received %,Progressive Passes Rec,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials won,Aerials lost,% of Aerials Won,Market value
925,3214,Centre-Back,33,Kamil Glik,0.08,0.04,0.08,0,0,0.23,0.04,0.12,0.12,0.04,0.16,0.94,0.39,41.70%,0.08,0.2,9.4,0,0.13,-0.04,-0.04,31.54,34.46,91.50%,737.84,182.85,6.52,7.1,91.80%,17.37,18.03,96.30%,7.18,8.74,82.10%,0.16,0.9,0,0,1.29,32.43,2.03,1.83,0,2.81,1.8,0.04,0,0,0,0,27.05,2.26,5.15,5.97,25.56,1.8,0,0.23,0,0.27,0.31,0.47,0.51,0.47,0,0.04,0,0,0,0.04,0.04,0,0,0,0,0,1.68,1.05,1.25,0.39,0.04,0.66,1.48,44.70%,0.82,8.74,3.4,38.80%,6.05,2.34,0.35,1.52,1.05,0,1.33,3.01,7.26,0.04,47.22,9.17,29,18.07,2.03,1.64,45.39,0.12,0.2,60.00%,0.12,0,23.03,105.85,54.33,1.21,0.04,0,0.16,0.08,27.87,26.42,94.80%,0.27,0.04,1.09,0.7,0,0,0,0.04,6.67,3.01,1.41,68.10%,€2.00
926,3222,Right Winger,31,Karim Bellarabi,0.18,0.09,0.18,0,0,0.18,0,0.35,0.35,0.21,0.56,3.29,1.1,33.30%,0.06,0.17,17.3,0,0.1,-0.16,-0.16,30.82,42.26,72.90%,517.87,137.1,16.83,20.03,84.00%,10.61,14.54,73.00%,2.84,5.58,50.80%,1.28,1.65,1.65,0.73,2.93,39.97,2.29,0.09,0.09,5.21,1.65,4.94,0.18,0.09,0.09,0,28.99,6.86,6.4,3.38,36.04,0.46,1.92,0.37,0.18,0.91,2.56,1.01,3.38,2.1,0,0.73,0.46,0.09,0,0.37,0.09,0,0,0.18,0.09,0,2.1,1.65,0.64,1.01,0.46,0.73,2.47,29.60%,1.74,18.84,5.58,29.60%,5.03,7.68,6.13,1.01,0,0,1.55,3.66,0.64,0,56.16,0.55,6.95,22.5,30.91,5.12,53.96,2.56,4.21,60.90%,2.74,0.18,45.27,230.4,151.74,7.5,2.47,1.01,2.01,2.01,52.59,41.52,79.00%,7.59,0,2.38,0.82,1.01,0.09,0,0,6.22,0.09,0.27,25.00%,€4.50
927,3223,Centre-Forward,33,Karim Benzema,0.81,0.28,0.74,0.06,0.06,0.04,0,0.58,0.53,0.25,0.77,3.91,1.64,41.80%,0.19,0.45,15,0.21,0.14,0.23,0.22,34.69,41.41,83.80%,523.36,98.21,20.34,23.28,87.40%,10.31,11.95,86.30%,2.72,3.44,79.00%,1.57,1.91,1.87,0.09,3.44,39.45,1.96,0.06,0.19,6.89,0.7,0.81,0.13,0,0,0,33.05,5.46,2.89,7.27,32.44,0.85,0.11,0.32,0.17,0.7,1.74,0.4,3.8,2.98,0,0.43,0.32,0.06,0.02,0.57,0.47,0,0.06,0.04,0,0,0.53,0.36,0.13,0.3,0.11,0.17,0.36,47.10%,0.19,10.14,2.36,23.30%,1.21,3.68,5.25,0.4,0,0,0.47,1,0.49,0,51.38,0.66,3.25,21.3,29.95,7.46,49.17,1.28,1.91,66.70%,1.34,0.17,36.33,186.53,105.62,6.04,1.89,1.49,1.66,1.11,60.56,42.83,70.70%,8.16,0,0.47,0.62,0.87,0,0,0,3.7,0.81,1.3,38.40%,€25.00
928,3226,Centre-Forward,29,Karim Onisiwo,0.16,0.2,0.16,0,0,0.08,0,0.32,0.32,0.19,0.51,2.92,0.99,33.80%,0.05,0.16,15.4,0,0.11,-0.16,-0.16,12.77,20.37,62.70%,188.98,35.35,6.9,10.13,68.10%,3.7,6.03,61.40%,1.1,2.17,50.90%,1.1,0.59,0.35,0.16,1.14,18.84,1.54,0,0,6.94,0.35,2.17,0,0,0,0,11.58,4.81,3.98,3.11,13.59,1.06,0.04,0.55,0.16,0.75,0.87,1.26,2.88,1.85,0,0.35,0.28,0.28,0.12,0.39,0.2,0,0.04,0.12,0.04,0,1.26,0.71,0.2,0.51,0.55,0.24,0.79,30.00%,0.55,21.87,5.16,23.60%,1.85,9.46,10.56,1.3,0.04,0,0.47,1.73,0.39,0,38.34,0.47,2.4,15.13,23.13,6.62,36.8,1.81,3.94,46.00%,2.29,0.08,26.16,125.15,79.32,4.33,0.99,1.62,4.81,2.92,55.32,27.58,49.90%,9.42,0,2.13,1.89,0.91,0.04,0,0,4.89,2.72,4.93,35.60%,€3.50
929,3231,Centre-Forward,29,Karl Toko Ekambi,0.47,0.18,0.42,0.05,0.05,0.08,0,0.52,0.48,0.17,0.65,2.76,1.27,46.20%,0.15,0.33,14.8,0,0.17,-0.05,-0.06,27.94,35.41,78.90%,437.43,93.25,15.46,17.9,86.30%,9.6,12.23,78.50%,1.98,3.15,62.80%,1.41,1.09,1.46,0.39,2.76,34.68,0.73,0.1,0.13,8.27,0.57,1.69,0,0,0,0,25.76,5.54,4.11,3.04,29.82,0.75,0.55,0.18,0.08,0.42,1.17,1.01,2.97,2.06,0,0.49,0.26,0.05,0.1,0.42,0.23,0,0.08,0.08,0.03,0,0.62,0.36,0.13,0.29,0.21,0.23,0.96,24.30%,0.73,10.77,2.94,27.30%,2.03,4.63,4.11,1.09,0.08,0,1.2,1.82,0.68,0,48.32,0.7,5,23.37,23.99,5.83,47.61,2.13,3.9,54.70%,2.47,0.26,35.59,214.24,125.46,6.79,1.93,1.51,2.26,1.74,51.34,37.73,73.50%,8.2,0,0.86,0.91,0.44,0.03,0,0,5.54,1.35,1.35,50.00%,€15.00
930,3233,Centre-Forward,24,Karlan Grant,0,0,0,0,0,0.15,0,0.07,0.07,0,0.07,0.75,0.6,80.00%,0,0,19.3,0.15,0.11,-0.07,-0.07,15.37,19.85,77.40%,231.49,32.84,9.1,10.9,83.60%,4.63,5.52,83.80%,1.04,1.34,77.80%,0,0.3,0.6,0,0.75,18.66,1.19,0,0.15,4.48,0.3,0.9,0.15,0,0,0,13.58,4.18,2.09,2.09,15.22,1.64,0,0.15,0.15,0,0.3,0.6,1.19,0.6,0.15,0.15,0.15,0.15,0,0.15,0.15,0,0,0,0,0,0.6,0.45,0.45,0.15,0,0.3,0.6,50.00%,0.3,13.43,3.58,26.70%,3.13,5.37,4.93,0.6,0,0,1.34,1.94,0.75,0,30.15,0.6,3.58,13.13,15.07,2.84,28.81,0.75,1.79,41.70%,1.04,0,18.81,117.61,38.51,2.24,0.75,0.75,2.69,1.49,41.04,20,48.70%,5.52,0,1.34,1.04,0.45,0,0,0,4.48,1.19,4.33,21.60%,€8.00
931,3238,Central Midfield,26,Karol Linetty,0,0,0,0,0,0.31,0,0.05,0.05,0.11,0.17,0.78,0.16,20.00%,0,0,18.9,0,0.07,-0.05,-0.05,24.05,30.24,79.50%,380.56,100.15,13.38,15.67,85.40%,8.64,10.31,83.80%,1.56,2.65,58.80%,1.25,2.03,0.52,0,2.19,28.94,1.3,0.42,0,6.04,0.73,0.42,0.52,0,0.21,0.05,21.34,4.48,4.42,11.09,17.02,1.46,0.21,0.21,0,0.31,0.99,0.68,2.71,2.19,0.16,0.1,0.16,0,0.1,0.1,0.1,0,0,0,0,0,1.93,1.15,0.52,0.73,0.68,0.62,1.82,34.30%,1.2,18.22,5.36,29.40%,4.32,9.32,4.58,0.83,0.16,0,0.68,2.6,0.52,0,40.29,0.88,6.71,20.67,15.36,2.5,38.99,0.62,1.35,46.20%,0.78,0.05,27.8,121.02,62.41,3.07,0.99,0.31,2.03,1.35,35.66,26.76,75.00%,3.8,0,2.5,1.61,0.05,0,0,0,7.18,0.42,1.35,23.50%,€6.00
932,3241,Centre-Back,26,Kasim Nuhu,0,0,0,0,0,0,0,0.08,0.08,0,0.09,0.74,0.09,12.50%,0,0,14.6,0,0.12,-0.08,-0.08,48.72,57.09,85.30%,1100.87,421.69,12.04,12.96,92.90%,26.38,28.59,92.30%,9.56,13.88,68.90%,0.09,6.25,0.18,0,5.33,54.15,2.94,2.21,0,5.24,2.67,0.28,0,0,0,0,43.39,4.32,9.38,3.31,49.73,1.93,0.74,0.09,0.09,0.55,0.55,1.47,0.83,0.64,0,0,0.09,0.09,0,0.09,0.09,0,0,0,0,0,1.2,0.83,0.83,0.37,0,0.46,0.92,50.00%,0.46,5.7,2.11,37.10%,2.21,3.22,0.28,1.84,0.37,0.09,0.74,1.93,4.23,0,67.29,7.54,31.81,36.77,3.68,0.83,64.54,0.55,0.64,85.70%,0.55,0,44.22,245.64,150.03,3.13,0.46,0,0.37,0.46,44.95,44.13,98.20%,0.46,0,0.83,0.83,0,0,0.09,0.18,11.12,2.21,2.21,50.00%,€1.70
933,3242,Centre-Forward,24,Kasper Dolberg,0.27,0.09,0.23,0.05,0.05,0,0,0.33,0.29,0.05,0.34,1.82,0.78,42.50%,0.13,0.29,13,0.05,0.16,-0.05,-0.06,12.49,16.28,76.80%,184.38,22.89,6.93,8.75,79.20%,4.24,5.24,80.90%,0.68,0.96,71.40%,0.5,0.87,0.32,0,0.68,14.68,1.6,0,0,4.92,0.18,0.23,0,0,0,0,10.76,3.37,2.14,1.37,12.08,0.87,0.05,0.91,0.05,0.36,0.82,0.91,1.19,0.78,0,0,0.18,0.23,0,0.18,0.09,0,0,0.05,0.05,0,0.41,0.27,0.18,0.18,0.05,0.09,0.73,12.50%,0.64,14.09,3.6,25.60%,1.23,5.65,7.2,1,0.09,0,0.41,0.82,1.5,0,28.18,1.6,3.51,14.22,11.44,3.42,26.49,0.73,1.5,48.50%,0.73,0,16.78,63.83,32.69,1.91,0.64,0.41,2.64,1.82,36.16,18.92,52.30%,5.52,0,1.37,1.78,0.23,0,0,0,3.6,1.46,1.78,45.10%,€22.00
934,3251,Centre-Back,25,Kean Bryan,0.11,0,0.11,0,0,0.11,0,0.04,0.04,0.03,0.07,0.21,0.11,50.00%,0.5,1,4.8,0,0.2,0.06,0.06,30.21,40.56,74.50%,627.46,282.68,10.67,11.3,94.40%,14.05,16.58,84.70%,4.75,10.67,44.60%,0.32,2.64,0.21,0.11,2.22,38.77,1.8,0.42,0,4.96,1.37,1.27,0,0,0,0,24.08,4.23,12.25,34.33,1.8,2.32,1.37,0,0.11,1.06,1.27,1.37,0.42,0.42,0,0,0,0,0,0,0,0,0,0,0,0,2.22,1.48,1.16,0.95,0.11,0.85,1.27,66.70%,0.42,13.73,4.12,30.00%,7.39,5.28,1.06,2.22,0.85,0,2.54,4.75,6.65,0.32,54.51,6.02,26.73,25.99,6.02,0.63,52.71,0.21,0.42,50.00%,0.21,0,30.11,150.53,70.14,0.95,0.74,0,0.42,0.42,31.48,30,95.30%,0.53,0,1.37,0.32,0,0,0,0.11,7.71,3.06,1.8,63.00%,€1.80
935,3256,Left Winger,26,Keita BaldÃ©,0.47,0.05,0.47,0,0,0.24,0.05,0.34,0.34,0.1,0.45,2.61,1.04,40.00%,0.18,0.45,13.3,0,0.13,0.13,0.13,15.21,20.76,73.30%,215.73,37.58,8.29,10.62,78.10%,5.36,6.82,78.50%,0.66,1.42,46.70%,1.09,1.14,0.47,0.05,1.23,19.57,1.18,0.05,0.05,6.45,0.19,0.85,0.09,0.09,0,0,14.12,4.12,2.51,3.93,13.98,1.04,0.09,0.62,0,0.57,0.76,0.47,2.51,1.37,0,0.28,0.33,0.38,0.14,0.28,0.09,0,0,0.05,0.14,0,0.76,0.43,0.14,0.38,0.24,0.19,0.62,30.80%,0.43,16.11,3.51,21.80%,1.18,7.16,7.77,0.66,0.19,0,0.19,0.95,0.52,0,32.84,0.57,1.8,15.31,17.87,5.36,31.66,0.66,1.37,48.30%,0.66,0,22.65,114.03,61.94,3.6,0.95,1.18,2.89,1.52,48.39,25.5,52.70%,8.44,0,2.18,2.27,0.52,0.09,0.05,0,3.22,1.47,3.51,29.50%,€8.00
936,3259,Centre-Forward,25,Kelechi Iheanacho,0.55,0.3,0.55,0,0.04,0.08,0,0.41,0.38,0.24,0.62,2.96,1.19,40.00%,0.19,0.46,17.2,0.04,0.13,0.14,0.17,25.15,32.13,78.30%,368.76,60.75,14.82,17.23,86.00%,7.54,9.1,82.80%,1.74,3.18,54.70%,1.74,1.35,1.23,0.21,2.07,30.78,1.35,0.04,0.17,8.3,0.64,0.89,0.08,0.04,0,0,25.1,4.32,2.71,28.83,1.82,0.68,0.13,0.17,0.13,0.72,1.65,0.85,3.01,2.37,0.04,0.34,0.08,0,0.17,0.47,0.3,0,0.04,0,0,0.13,1.02,0.68,0.21,0.55,0.25,0.25,0.97,26.10%,0.72,15.96,4.32,27.10%,1.23,8.04,6.69,0.97,0.13,0,0.34,1.35,0.25,0,46.65,0.34,2.75,21.34,25.53,4.95,45.25,1.69,3.26,51.90%,1.91,0.17,35.09,145.79,73.53,3.73,1.52,0.59,3.94,2.24,61.04,36.91,60.50%,9.44,0,1.78,0.89,0.55,0,0.04,0,4.53,0.8,3.34,19.40%,€20.00
937,3262,Right-Back,23,Kelvin Amian,0,0.1,0,0,0,0.1,0.1,0.06,0.06,0.07,0.13,0.71,0.2,28.60%,0,0,15.5,0,0.08,-0.06,-0.06,36.83,45.61,80.80%,586.21,251.13,19.98,21.79,91.70%,13.32,16.24,82.00%,2.42,4.74,51.10%,0.71,1.92,0.4,0.2,2.02,35.82,9.79,1.01,0,7.57,0.61,1.01,0,0,0,0,28.25,11.91,5.45,4.54,30.37,1.51,8.78,0.1,0.2,0.91,1.51,1.31,1.31,1.21,0,0,0.1,0,0,0.1,0.1,0,0,0,0,0,2.72,1.61,1.92,0.61,0.2,0.61,1.21,50.00%,0.61,15.74,4.94,31.40%,8.98,4.94,1.82,1.82,0.5,0,2.12,4.84,3.33,0,57.01,4.24,25.12,24.22,10.19,1.21,47.62,0.71,1.21,58.30%,0.71,0,30.07,137.62,62.56,2.02,0.3,0.2,0.61,0.61,34.91,31.88,91.30%,1.41,0,1.51,0.5,0,0,0,0,4.24,1.31,1.51,46.40%,€3.50
938,3264,Centre-Back,22,Kelyan Guessoum,0,0,0,0,0,0.16,0,0.02,0.02,0,0.02,0.4,0.16,40.00%,0,0,11,0,0.04,-0.02,-0.02,40.29,44.52,90.50%,954.89,177.37,6.7,7.18,93.30%,24.65,25.85,95.40%,8.62,10.85,79.40%,0,1.2,0.16,0,1.12,42.93,1.6,1.52,0.08,1.44,1.6,0.08,0,0,0,0,37.1,1.6,5.82,5.9,35.98,2.15,0.08,0.08,0.16,0.24,0.32,0.56,0.24,0.08,0,0,0.08,0.08,0,0.08,0,0,0,0,0.08,0,1.36,0.64,1.04,0.24,0.08,0.8,1.52,52.60%,0.72,7.02,2.07,29.50%,5.11,1.6,0.32,1.12,0.56,0,1.76,3.11,5.74,0,55.29,6.86,34.55,25.21,0.8,0.48,53.78,0.08,0.08,100.00%,0.08,0,36.06,232.58,130.53,2.07,0.16,0,0,0.24,37.34,37.02,99.10%,0,0,0.56,1.04,0,0.08,0,0,6.22,1.04,0.8,56.50%,"€500Th. Last update: Jun 4, 2021"
939,3268,Centre-Forward,28,Kenan Kodro,0.18,0,0,0.18,0.18,0.18,0,0.35,0.2,0.02,0.24,1.47,0.37,25.00%,0,0,12.7,0,0.14,-0.17,-0.2,15.98,22.22,71.90%,234.73,26.63,10.29,13.59,75.70%,3.49,4.78,73.10%,1.29,1.84,70.00%,0.73,0.55,0,0,0.37,20.39,1.84,0,0,7.9,0.73,0,0,0,0,0,13.41,4.04,4.78,1.84,15.24,1.65,0.37,0.18,0.18,1.1,0.55,0.18,1.65,0.92,0,0,0.18,0.37,0.18,0.55,0,0,0,0.18,0.37,0,0,0,0,0,0,0,0.55,0.00%,0.55,12.12,2.2,18.20%,1.29,4.04,6.8,0.18,0,0,0.73,0.73,0.92,0,31.78,0.92,2.2,17.63,12.86,3.31,29.94,0.55,2.02,27.30%,0.73,0,19.29,90.18,31.59,2.02,0.37,0.55,1.47,1.65,53.27,24.24,45.50%,4.41,0,1.47,1.47,0.37,0.37,0,0,2.94,4.04,5.51,42.30%,€1.00
940,3269,Right Winger,25,Kenedy,0.27,0.11,0.27,0,0,0.16,0,0.12,0.12,0.16,0.28,2.5,0.98,39.10%,0.11,0.28,25.6,0.27,0.05,0.15,0.15,13.11,21.1,62.10%,241.18,88.1,6.85,8.27,82.90%,3.53,5.76,61.30%,2.18,5.76,37.70%,1.2,0.87,0.6,0.27,1.31,17.08,4.02,1.25,0.11,2.99,1.41,2.39,2.45,1.31,0.44,0.22,11.37,3.48,6.25,15.5,3.59,0.87,0.33,0.44,0.11,0.49,0.92,1.79,2.77,1.36,0.49,0.38,0.16,0.22,0.16,0.27,0.16,0,0.05,0,0,0.05,1.9,1.41,0.98,0.6,0.33,0.33,1.74,18.80%,1.41,15.39,4.51,29.30%,4.4,5.87,5.11,2.01,0.22,0,1.41,3.32,0.87,0,37.96,1.03,6.47,14.47,20.39,2.45,33.99,2.34,4.3,54.40%,2.34,0.22,24.58,135.24,79.94,3.64,1.14,0.6,2.56,3.15,33.01,20.61,62.40%,3.32,0,1.63,1.85,0.11,0,0.05,0,6.15,0.54,1.69,24.40%,€10.00
941,3272,Right-Back,30,Kenny Lala,0.07,0.07,0,0.07,0.07,0.07,0,0.08,0.03,0.11,0.14,0.57,0.14,25.00%,0,0,23.4,0,0.05,-0.01,-0.03,41.44,56.04,74.00%,878.78,351.31,15.95,18.94,84.20%,17.02,20.65,82.40%,8.26,14.74,56.00%,0.78,2.85,0.85,0.5,3.49,43.72,12.32,1.35,0.07,6.98,2.06,2.14,1.14,0.36,0.71,0,29.19,10.61,16.23,5.98,37.88,1.14,9.83,0.07,0,1.14,2.21,1.35,1.71,1,0.64,0.07,0,0,0,0.21,0.21,0,0,0,0,0,1.28,0.64,1,0.14,0.14,0.64,1.21,52.90%,0.57,9.61,3.06,31.90%,3.92,3.7,1.99,1.57,0.21,0,0.93,2.21,1.28,0.07,64.94,3.35,19.72,31.61,18.09,0.71,52.97,0.64,1.28,50.00%,0.64,0,40.02,211.76,110.36,4.41,1.71,0.14,1.21,0.93,41.8,39.16,93.70%,1.78,0,1,1.14,0.14,0,0,0,7.55,1.21,0.5,70.80%,€4.00
942,3273,Central Midfield,29,Kenny McLean,0,0,0,0,0,0.07,0,0.07,0.07,0.04,0.1,1.26,0.22,17.60%,0,0,19.5,0,0.05,-0.07,-0.07,28.81,37.63,76.60%,532,165.33,13.48,15.93,84.70%,11.33,13.85,81.80%,3.63,6.67,54.40%,0.3,3.04,0.37,0.07,3.04,36.3,1.33,0.52,0,8,0.89,1.04,0.07,0.07,0,0,22.89,6.89,7.85,26.96,5.48,2,0.74,0.07,0.07,0.37,0.96,0.74,1.33,0.96,0.15,0,0.15,0,0.07,0,0,0,0,0,0,0,1.7,1.04,0.74,0.89,0.07,0.81,2,40.70%,1.19,15.04,3.33,22.20%,6.37,6.67,2,0.89,0.15,0,1.63,3.33,1.63,0,48.07,2.07,13.04,26.89,11.11,1.19,46.96,0.74,1.41,52.60%,0.81,0,28.59,140.74,66.52,3.04,0.89,0.15,0.81,1.04,39.19,32.15,82.00%,2.22,0,0.44,1.33,0,0,0,0,7.19,2.89,2.44,54.20%,€3.00
943,3276,Right-Back,26,Kenny Tete,0,0,0,0,0,0.13,0,0.01,0.01,0.07,0.09,0.47,0.13,28.60%,0,0,18.4,0,0.03,-0.01,-0.01,38.91,52.68,73.90%,716.08,283.7,17.03,20.29,83.90%,16.16,20.69,78.10%,4.66,7.98,58.30%,0.86,2.33,1.2,0.86,3.26,45.1,7.58,0.4,0,7.25,1,3.39,0,0,0,0,29.07,11.24,12.37,1.93,40.58,2.06,7.18,0.27,0.13,1.2,1.8,1.46,1.66,1.6,0,0,0,0.07,0,0.07,0.07,0,0,0,0,0,3.59,1.8,2.06,1.13,0.4,1,1.6,62.50%,0.6,15.43,4.99,32.30%,7.52,5.45,2.46,1.8,0.33,0,1.93,5.52,3.86,0,66.92,3.92,23.28,29.87,17.43,1.2,59.47,0.53,1.2,44.40%,0.6,0.2,38.71,199.56,101.37,4.52,1.53,0.2,1.26,0.4,41.57,37.38,89.90%,2.2,0,2.06,1.2,0.13,0,0.07,0,9.05,1.6,1.6,50.00%,€5.00
944,3278,Central Midfield,28,Kerem Demirbay,0.13,0.1,0.1,0.03,0.03,0.19,0.03,0.16,0.14,0.1,0.24,2.08,0.71,33.80%,0.05,0.14,23.4,0.22,0.07,-0.04,-0.04,49.87,64.17,77.70%,1004.42,314.01,20.35,23.4,87.00%,19.52,22.85,85.40%,9.04,15.61,57.90%,1.47,6.03,1.09,0.19,6.28,56.86,7.31,2.92,0.13,9.33,4.17,1.19,3.46,1.67,1.25,0.1,41.09,9.39,13.69,50.32,10.42,1.67,0.8,0.35,0.45,0.99,2.12,1.28,2.98,1.67,0.74,0.19,0.19,0.13,0.06,0.29,0.22,0.03,0.03,0,0,0,2.92,2.05,1.19,1.54,0.19,0.93,2.28,40.80%,1.35,22.24,8.04,36.20%,6.63,11.51,4.1,1.67,0.38,0,1.41,4.33,0.64,0.03,76.99,2.76,15.32,45.51,21.47,1.47,69.97,1.22,2.05,59.40%,1.31,0.16,50.54,264.29,134.2,6.35,1.73,0.35,1.35,1.63,56.7,51.86,91.50%,2.88,0,2.15,1.38,0.06,0,0,0,10.29,0.71,0.96,42.30%,€18.00
945,3281,Centre-Back,24,Keven Schlotterbeck,0,0,0,0,0,0.12,0,0.03,0.03,0.01,0.04,0.5,0.06,12.50%,0,0,15.8,0,0.07,-0.03,-0.03,36.09,44.1,81.80%,849.94,279.32,7.64,8.57,89.10%,20.12,22.73,88.50%,8.26,12.3,67.20%,0.12,2.17,0.12,0,2.55,42.55,1.55,1.55,0,4.6,1.3,0,0,0,0,0,31.24,4.66,8.2,28.26,10.99,2.98,0,0.25,0.06,1.24,0.62,0.81,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0.75,0.75,0.87,0,0.43,1.37,31.80%,0.93,9.69,3.29,34.00%,5.53,3.66,0.5,1.86,1.06,0,1.43,3.04,6.4,0.06,55.47,7.83,35.09,23.48,2.05,0.81,54.1,0.19,0.25,75.00%,0.19,0,32.05,169.5,104.53,1.12,0.06,0,0.37,0.06,33.35,32.36,97.00%,0.37,0,1.37,1.18,0,0,0,0.06,9.32,3.17,1.86,63.00%,€6.50
946,3282,Right Winger,23,Kevin Agudelo,0,0.17,0,0,0,0.26,0,0.14,0.14,0.08,0.22,1.21,0.26,21.40%,0,0,15.5,0,0.11,-0.14,-0.14,14.65,20.64,71.00%,251.1,62.95,7.02,8.93,78.60%,5.64,7.28,77.40%,1.39,2.77,50.00%,1.04,0.87,0.95,0,2.25,19.51,1.13,0,0,7.2,0.35,0.78,0,0,0,0,14.57,3.73,2.34,15.69,2.77,0.87,0.09,0.17,0.09,0.69,0.52,2.51,2.6,1.3,0,0.26,0.52,0.35,0.17,0.26,0.17,0,0,0.09,0,0,3.38,2.34,0.78,1.65,0.95,0.87,2.17,40.00%,1.3,23.67,7.02,29.70%,3.73,9.8,10.14,2.51,0,0,0.26,3.64,0.43,0,36.94,0.35,3.99,18.12,19.16,4.08,35.81,2.43,4.51,53.80%,2.86,0,24.97,169.94,101.01,4.6,2.08,0.95,2.17,2.17,39.02,23.41,60.00%,4.86,0,2.25,2.17,0.09,0,0,0,4.16,1.47,2.51,37.00%,€3.50
947,3283,Centre-Back,26,Kevin Akpoguma,0.14,0.07,0.14,0,0,0.14,0,0.06,0.06,0.1,0.16,0.77,0.28,36.40%,0.18,0.5,12.3,0,0.08,0.08,0.08,45.04,58.52,77.00%,842.32,330.7,20.23,23.75,85.20%,18.69,22.27,83.90%,5.55,10.54,52.70%,0.56,3.37,0.63,0.14,4.85,48.2,10.33,0.91,0,8.71,1.48,1.55,0.14,0.07,0,0,36.11,12.58,9.84,5.27,41.66,1.41,9.27,0.07,0.21,1.33,1.69,2.81,1.41,0.91,0.07,0.21,0.14,0.07,0,0.21,0.14,0,0,0.07,0,0,2.25,1.05,0.98,0.91,0.35,0.84,1.55,54.50%,0.7,14.4,4.5,31.20%,5.27,6.11,3.02,3.02,0.21,0,1.33,3.58,1.76,0.14,70.26,3.79,22.41,35.9,16.23,2.32,60.21,0.98,1.9,51.90%,1.05,0.07,42.15,206.21,117.82,4.92,1.26,0.63,1.19,0.56,46.09,42.72,92.70%,1.41,0,1.69,1.69,0.14,0,0,0,8.15,1.76,1.33,56.80%,€5.00
948,3288,Centre-Back,23,Kevin Danso,0,0,0,0,0,0.22,0.07,0.07,0.07,0.01,0.08,0.37,0.15,40.00%,0,0,8.5,0,0.21,-0.07,-0.07,51.04,57,89.50%,1126.47,354.92,11.93,12.82,93.10%,29.09,31.23,93.20%,9.8,12.67,77.30%,0.07,1.69,0.07,0,2.14,54.8,2.21,1.99,0,3.24,1.55,0,0,0,0,0,45.37,3.9,7.73,4.64,47.58,3.09,0.07,0.15,0,1.18,0.66,0.74,0.29,0.22,0,0,0,0.07,0,0.07,0,0,0,0,0.07,0,1.77,0.88,1.1,0.66,0,0.66,1.1,60.00%,0.44,10.38,3.9,37.60%,5.45,4.57,0.37,1.55,0.81,0,2.28,4.05,3.68,0,66.95,8.62,33.58,37.49,1.47,0.52,65.03,0.29,0.52,57.10%,0.37,0,43.6,329.29,175.21,2.65,0.15,0,0.37,0.44,45.22,44.78,99.00%,0,0,1.62,1.55,0,0.07,0,0,9.13,2.21,0.96,69.80%,€5.50
