,index,Position,Age,Name,Goals,Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xA,npxG+xA,Shots Total,Shots on target,Shots on target %,Goals/Shot,Goals/Shot on target,Average Shot Distance,Shots from free kicks,npxG/Sh,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Live-ball passes,Dead-ball passes,Passes from Free Kicks,Through Balls,Passes Under Pressure,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Ground passes,Low Passes,High Passes,Passes Attempted (Left),Passes Attempted (Right),Passes Attempted (Head),Throw-Ins taken,Passes Attempted (Other),Passes Offside,Passes Out of Bounds,Passes Intercepted,Passes Blocked,Shot-Creating Actions,SCA (PassLive),SCA (PassDead),SCA (Drib),SCA (Sh),SCA (Fld),SCA (Def),Goal-Creating Actions,GCA (PassLive),GCA (PassDead),GCA (Drib),GCA (Sh),GCA (Fld),GCA (Def),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Contested,% of dribblers tackled,Dribbled Past,Pressures,Successful Pressures,Successful Pressure %,Pressures (Def 3rd),Pressures (Mid 3rd),Pressures (Att 3rd),Blocks,Shots Blocked,Shots Saved,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Dribbles Completed,Dribbles Attempted,Successful Dribble %,Players Dribbled Past,Nutmegs,Carries,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Pass Targets,Passes Received,Passes Received %,Progressive Passes Rec,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials won,Aerials lost,% of Aerials Won,Market value
960,3313,Central Midfield,31,Kevin Strootman,0,0.18,0,0,0,0.48,0,0.02,0.02,0.12,0.14,0.31,0.09,28.60%,0,0,18.4,0,0.07,-0.02,-0.02,46.87,57.44,81.60%,875.95,229.12,20,23.04,86.80%,20.09,22.56,89.10%,6.12,9.74,62.90%,1.23,4.8,0.84,0.22,4.32,54.05,3.39,1.89,0.26,8.15,1.1,0.79,0.79,0.22,0.35,0,41.63,6.34,9.47,47.27,6.74,2.2,0.62,0.09,0.31,0.48,1.45,1.94,1.94,1.67,0.13,0,0,0.04,0.09,0.22,0.18,0,0,0,0,0.04,2.47,1.63,1.15,1.19,0.13,1.23,2.38,51.90%,1.15,20.97,5.9,28.20%,7.89,10.13,2.95,2.29,0.35,0,1.89,4.36,1.67,0,67.14,2.47,16.87,42.16,12.03,0.93,64.1,0.53,0.7,75.00%,0.53,0.04,41.94,184.85,87.49,3.52,1.06,0.22,0.53,0.44,50.7,45.77,90.30%,1.37,0,1.94,1.19,0.04,0,0.04,0,8.72,0.88,1.23,41.70%,€5.00
961,3318,Centre-Forward,29,Kevin Volland,0.43,0.23,0.4,0.03,0.03,0.28,0,0.32,0.3,0.17,0.47,2,0.83,41.80%,0.2,0.48,13.1,0.05,0.15,0.11,0.1,18.38,26.81,68.60%,306.06,79.63,9.18,11.78,77.90%,6.02,8.72,69.00%,2.05,3.49,58.70%,1.04,1.97,1.06,0.15,2.38,26.55,0.25,0.08,0.3,8.55,0.38,0.86,0.03,0,0,0,17.45,4.63,4.73,17.27,6.04,1.34,0.03,0.71,0.23,0.71,0.99,0.78,2.28,1.8,0.05,0.05,0.13,0.18,0.08,0.48,0.38,0,0.03,0.03,0.05,0,1.26,0.86,0.4,0.58,0.28,0.28,1.26,22.00%,0.99,17.35,4.98,28.70%,1.8,9.1,6.45,0.81,0.03,0,0.28,1.54,0.2,0.03,37.91,0.28,3.24,19.35,17.22,4.48,37.65,0.89,1.47,60.30%,0.96,0.1,24.78,102.29,53.53,2.86,0.96,0.53,2.73,1.87,47.72,29.13,61.00%,7.81,0,2.15,1.57,0.51,0.05,0,0,4.75,1.8,2.66,40.30%,€30.00
962,3327,Defensive Midfield,20,KhÃ©phren Thuram-Ulie,0.1,0.1,0.1,0,0,0.2,0,0.06,0.06,0.09,0.14,0.61,0.2,33.30%,0.17,0.5,18,0,0.09,0.05,0.05,51.18,58.33,87.70%,974.9,192.87,19.1,20.93,91.30%,24.02,25.9,92.80%,6.99,9.43,74.20%,0.91,4.26,1.06,0.1,4.56,57.06,1.27,1.22,0.3,8.72,1.47,0.2,0,0,0,0,46.42,5.37,6.54,9.12,46.72,1.52,0.05,0.15,0.15,1.01,1.11,1.01,2.13,1.47,0,0.2,0.2,0.15,0.1,0.35,0.2,0,0.05,0.05,0.05,0,1.82,1.37,0.46,0.81,0.56,0.51,1.67,30.30%,1.17,13.94,4.05,29.10%,4.36,7.15,2.43,1.37,0.35,0,1.47,3.29,1.57,0,67.91,2.79,18.09,44.65,11.2,1.11,66.84,1.22,1.62,75.00%,1.37,0,47.64,283.02,148.99,5.27,1.98,0.1,0.91,0.61,53.87,50.12,93.00%,1.47,0,2.13,0.86,0,0.05,0,0,8.97,1.27,1.22,51.00%,€9.00
963,3334,Left-Back,24,Kieran Tierney,0.07,0.14,0.07,0,0,0.14,0,0.02,0.02,0.17,0.19,0.71,0.18,25.00%,0.1,0.4,23.4,0,0.03,0.05,0.05,39.74,53.5,74.30%,734.68,214.34,17.7,20.51,86.30%,17.52,21.54,81.40%,4.16,9.35,44.50%,1.46,2.49,1.6,0.82,3.34,44.82,8.67,0.5,0.04,4.91,1.46,4.16,0,0,0,0,31.78,10.56,11.16,37.43,5.47,1.96,8.18,0.07,0.25,1.14,1.39,1.28,2.35,1.96,0.07,0.14,0.04,0.14,0,0.32,0.18,0,0.07,0,0.07,0,1.07,0.53,0.39,0.46,0.21,0.5,0.96,51.90%,0.46,7.86,2.35,29.90%,2.49,3.16,2.2,1.67,0.39,0,1.1,2.17,2.74,0,63.31,3.7,17.49,24.74,24.88,2.38,54.74,0.92,1.74,53.10%,1.03,0.04,40.31,203.57,122.27,5.37,1.53,0.71,0.71,0.68,45.11,39.92,88.50%,3.8,0,0.5,0.92,0.07,0.04,0,0,7.46,0.78,1.49,34.40%,€32.00
964,3338,Centre-Forward,32,Kike,0.3,0.05,0.27,0.03,0.03,0.05,0,0.3,0.28,0.07,0.35,2.42,0.95,39.30%,0.11,0.29,13.5,0,0.12,0,-0.01,18.14,26.36,68.80%,266.74,38.4,11.04,13.95,79.10%,5.03,7.89,63.80%,1.22,2.5,48.90%,0.82,0.98,0.49,0.14,1.12,25.21,1.14,0,0.03,9.14,0.68,0.87,0.03,0,0.03,0,14.88,5.96,5.52,6.36,13.35,2.07,0.05,1.06,0.16,0.68,1.12,0.87,1.88,1.36,0,0.05,0.11,0.27,0.08,0.19,0.08,0,0.05,0.03,0,0.03,0.76,0.63,0.14,0.27,0.35,0.11,0.87,12.50%,0.76,15.91,4.76,29.90%,0.92,6.31,8.68,0.98,0.11,0,0.38,1.14,0.6,0,40.99,0.68,2.34,18.39,22.36,5.55,39.82,0.87,1.66,52.50%,1.01,0.11,26.22,118.1,38.35,2.39,0.68,0.49,4.43,2.04,61.69,31.55,51.10%,8.08,0,1.6,2.64,0.44,0.03,0,0,4.43,4.54,6.75,40.20%,€2.80
965,3340,Right Winger,24,Kike Barja,0.12,0.12,0.12,0,0,0.12,0,0.1,0.1,0.13,0.23,1.37,0.66,47.80%,0.09,0.18,17.9,0,0.08,0.02,0.02,22.4,32.55,68.80%,384.25,107.44,11.65,14.21,81.90%,7.58,10.45,72.60%,2.33,5.08,45.90%,0.96,1.25,1.25,0.48,3.17,31.65,0.9,0.18,0.12,7.7,1.55,3.4,0.24,0.06,0,0,20.48,6.15,5.91,9.02,21.32,0.78,0.42,0.12,0.12,0.96,0.72,1.19,1.97,1.49,0.06,0.12,0.18,0.06,0.06,0.12,0.12,0,0,0,0,0,0.9,0.48,0.6,0.18,0.12,0.66,1.97,33.30%,1.31,17.02,4,23.50%,3.64,8.54,4.84,1.31,0.12,0,1.79,2.69,0.72,0,46.34,1.37,7.52,21.56,21.5,2.27,45.57,2.69,4.96,54.20%,3.05,0.06,37.68,223.66,119.32,6.63,1.61,0.36,2.27,2.39,46.4,33.68,72.60%,4.96,0,1.49,2.03,0,0,0,0,6.39,1.19,0.9,57.10%,€3.00
966,3342,Central Midfield,24,Kike PÃ©rez,0,0,0,0,0,0.37,0,0.09,0.09,0.11,0.21,1.37,0.37,27.30%,0,0,21.3,0.12,0.07,-0.09,-0.09,35.5,42.7,83.10%,615.97,126.37,18.25,20.11,90.70%,11.42,13.41,85.20%,4.59,6.21,74.00%,1.49,2.73,1.12,0.12,3.48,41.34,1.37,0.87,0.25,8.94,1.37,0.99,0,0,0,0,31.16,6.08,5.46,30.91,7.94,1.37,0.25,0.37,0.12,0.25,0.99,1.12,2.61,1.99,0,0.25,0.12,0.25,0,0.12,0.12,0,0,0,0,0,1.86,0.87,0.5,0.99,0.37,0.62,1.99,31.30%,1.37,23.83,5.96,25.00%,6.21,12.17,5.46,1.49,0.37,0,0.87,2.73,0.87,0,54,1.86,10.8,31.16,16.26,1.99,52.76,1.37,1.99,68.80%,1.37,0.12,36.74,219.97,117.68,5.21,1.37,0.37,1.49,1.49,48.54,36.87,76.00%,3.35,0,2.98,1.99,0.12,0,0,0,8.94,2.23,4.34,34.00%,€1.00
967,3352,Left Winger,25,Kingsley Coman,0.28,0.32,0.28,0,0,0.08,0,0.26,0.26,0.31,0.56,2.88,1.04,36.10%,0.1,0.27,16.8,0,0.09,0.02,0.02,36.41,46.16,78.90%,642.51,134.76,17.78,20.7,85.90%,14.35,17.86,80.30%,3.92,5.56,70.50%,2.16,1.4,2.4,1.04,3.52,45.48,0.68,0.08,0.24,8.15,1.36,4.72,0.08,0.04,0,0,32.89,6.43,6.83,9.51,34.09,1.36,0.52,0.12,0.2,0.8,1.72,1.08,4.72,3.48,0,0.72,0.32,0.12,0.08,0.76,0.44,0,0.2,0.08,0.04,0,1.28,0.64,0.4,0.64,0.24,0.48,1.56,30.80%,1.08,16.75,4.56,27.20%,3.36,7.11,6.27,1.08,0,0,0.76,2.04,0.32,0,61.23,0.52,5.44,20.82,39.21,8.27,60.59,3.6,5.64,63.80%,3.76,0.12,51.31,297.98,173.09,11.39,1.96,2.52,2.4,2.68,61.15,49.48,80.90%,11.39,0,0.84,1.92,0.4,0.04,0,0,6.67,0.6,0.96,38.50%,€55.00
968,3353,Right-Back,26,Kingsley Ehizibue,0,0.08,0,0,0,0.24,0,0.06,0.06,0.07,0.13,0.81,0.08,10.00%,0,0,19.3,0,0.07,-0.06,-0.06,34.13,46.1,74.00%,675.2,270.49,12.3,15.31,80.30%,15.96,20.44,78.10%,5.13,8.23,62.40%,0.73,2.12,1.22,0.9,3.01,36.24,9.86,0.65,0,5.95,0.49,2.2,0,0,0,0,26.23,9.86,10.02,1.55,31.85,2.36,8.96,0.24,0,0.81,1.3,1.95,1.3,0.98,0.08,0.08,0.08,0.08,0,0.16,0.08,0,0,0.08,0,0,2.77,1.63,2.28,0.41,0.08,1.22,2.44,50.00%,1.22,17.35,5.62,32.40%,9.45,5.7,2.2,2.28,0.33,0,1.95,4.72,4.32,0.08,61.09,4.15,23.21,26.55,14.91,1.22,51.64,1.63,2.61,62.50%,1.71,0.16,32.01,185.95,108.49,4.4,1.55,0.08,1.3,1.06,34.37,29.48,85.80%,2.12,0,1.63,1.63,0.16,0,0,0,9.61,2.36,1.14,67.40%,€1.70
969,3365,Centre-Back,29,Koffi Djidji,0.04,0,0.04,0,0,0.29,0.04,0.02,0.02,0.01,0.03,0.33,0.15,44.40%,0.11,0.25,15.8,0,0.07,0.01,0.01,38.21,45.71,83.60%,762.83,268.03,13.51,15.15,89.20%,18.87,20.51,92.00%,5.28,8.81,59.90%,0.22,2.62,0.26,0.07,2.95,42,3.72,1.38,0,4.33,1.06,0.33,0,0,0,0,33,4.04,8.67,2.44,38.21,1.68,2.33,0.18,0.11,1.02,0.84,1.38,0.73,0.73,0,0,0,0,0,0.11,0.11,0,0,0,0,0,2.55,1.02,1.6,0.66,0.29,0.44,1.02,42.90%,0.58,15.15,4.44,29.30%,7.79,6.26,1.09,2.37,0.98,0.04,2.08,4.63,4.44,0,57.55,6.59,27.17,28.99,4.95,0.36,53.91,0.51,0.73,70.00%,0.55,0,33.47,165.14,86.47,2.59,0.73,0,0.33,0.47,34.31,33.25,96.90%,0.36,0.04,1.27,0.18,0.07,0,0.04,0,8.34,2.19,1.57,58.30%,€1.80
