,Name,Goals,Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xA,npxG+xA,Shots Total,Shots on target,Shots on target %,Goals/Shot,Goals/Shot on target,Average Shot Distance,Shots from free kicks,npxG/Sh,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Live-ball passes,Dead-ball passes,Passes from Free Kicks,Through Balls,Passes Under Pressure,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Ground passes,Low Passes,High Passes,Passes Attempted (Left),Passes Attempted (Right),Passes Attempted (Head),Throw-Ins taken,Passes Attempted (Other),Passes Offside,Passes Out of Bounds,Passes Intercepted,Passes Blocked,Shot-Creating Actions,SCA (PassLive),SCA (PassDead),SCA (Drib),SCA (Sh),SCA (Fld),SCA (Def),Goal-Creating Actions,GCA (PassLive),GCA (PassDead),GCA (Drib),GCA (Sh),GCA (Fld),GCA (Def),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Contested,% of dribblers tackled,Dribbled Past,Pressures,Successful Pressures,Successful Pressure %,Pressures (Def 3rd),Pressures (Mid 3rd),Pressures (Att 3rd),Blocks,Shots Blocked,Shots Saved,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Dribbles Completed,Dribbles Attempted,Successful Dribble %,Players Dribbled Past,Nutmegs,Carries,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Pass Targets,Passes Received,Passes Received %,Progressive Passes Rec,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials won,Aerials lost,% of Aerials Won,Market value,Goals Against,Shots on Target Against,Saves,Save%,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,PSxG,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Throws Attempted,Launch%,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
1246,Dani Ojeda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€500Th. Last update: Oct 13, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247,Dani Olmo,0.22,0.27,0.18,0.04,0.04,0.04,0.00,0.32,0.29,0.17,0.47,2.96,0.76,25.8%,0.06,0.24,18.60,0.00,0.10,-0.09,-0.11,40.31,51.75,77.9%,635.29,201.79,22.20,25.70,86.4%,12.96,16.41,79.0%,3.23,5.78,55.8%,1.35,4.26,1.75,0.13,5.92,50.31,1.44,0.58,0.31,10.99,0.90,0.85,0.27,0.13,0.00,0.04,38.39,5.74,7.62,7.04,40.99,1.39,0.49,0.81,0.36,0.85,3.09,0.94,3.59,2.91,0.00,0.13,0.36,0.09,0.09,0.45,0.36,0.00,0.04,0.04,0.00,0.00,1.70,1.03,0.31,1.08,0.31,0.22,1.35,16.7%,1.12,19.10,6.28,32.9%,2.96,9.69,6.46,0.99,0.04,0.00,1.12,2.83,0.81,0.00,66.86,0.94,7.62,34.84,29.42,4.17,65.65,1.08,2.91,36.9%,1.26,0.04,47.62,193.50,106.68,5.83,2.51,0.45,2.33,2.29,62.78,50.45,80.4%,7.26,0.00,1.26,2.15,0.09,0.00,0.00,0.00,9.60,1.12,1.66,40.3%,€50.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1248,Dani Plomer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€100Th. Last update: Jun 30, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,Dani Raba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€900Th. Last update: Jun 10, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,Dani RodrÃ­guez,0.14,0.14,0.14,0.00,0.00,0.20,0.00,0.08,0.08,0.09,0.18,1.49,0.41,27.3%,0.09,0.33,20.60,0.14,0.06,+0.05,+0.05,20.91,28.71,72.8%,347.38,99.23,10.25,12.01,85.3%,7.53,9.57,78.7%,1.97,4.28,46.0%,1.43,2.04,0.68,0.00,2.65,27.22,1.49,0.48,0.14,6.92,1.02,1.15,0.68,0.27,0.00,0.07,19.68,3.53,5.50,5.29,20.70,1.49,0.14,0.20,0.20,0.88,0.81,0.75,2.78,1.97,0.14,0.14,0.14,0.34,0.07,0.34,0.20,0.07,0.00,0.07,0.00,0.00,1.49,1.02,0.68,0.68,0.14,0.41,1.29,31.6%,0.88,19.00,4.75,25.0%,3.46,10.93,4.62,0.81,0.07,0.00,0.75,2.24,0.41,0.00,41.06,0.68,5.36,22.53,17.44,2.78,39.57,2.17,3.80,57.1%,2.38,0.20,29.93,180.75,96.65,4.07,1.76,0.41,1.83,2.92,37.67,28.37,75.3%,4.28,0.00,2.92,2.10,0.00,0.00,0.00,0.00,7.33,1.02,1.76,36.6%,€1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1251,Daniel Adshead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€200Th. Last update: Jun 30, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252,Daniel Amartey,0.11,0.00,0.11,0.00,0.00,0.11,0.00,0.04,0.04,0.01,0.04,0.37,0.16,42.9%,0.29,0.67,14.90,0.00,0.10,+0.07,+0.07,56.81,63.87,88.9%,1111.27,340.99,18.85,20.24,93.1%,30.14,32.61,92.4%,7.23,9.26,78.0%,0.11,3.53,0.11,0.05,3.21,60.71,3.16,0.54,0.00,5.84,0.80,0.05,0.00,0.00,0.00,0.00,50.06,6.32,7.50,5.03,51.67,3.00,2.62,0.21,0.21,0.16,0.91,1.12,0.80,0.75,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.28,0.64,0.70,0.54,0.05,0.59,1.18,50.0%,0.59,7.50,2.89,38.6%,4.18,2.94,0.37,1.82,0.70,0.05,1.55,2.84,4.02,0.05,74.15,7.12,35.28,38.28,4.50,0.64,71.10,0.21,0.70,30.8%,0.21,0.00,49.79,218.23,131.01,3.37,0.70,0.00,0.48,0.32,52.58,50.92,96.8%,0.05,0.00,0.75,0.43,0.05,0.00,0.00,0.00,10.60,2.09,1.66,55.7%,€5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253,Daniel Bachmann,,,,,0.14,,,,,,,,,,,,,,,,,,24.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€3.00,2.29,5.86,3.71,63.4%,0.14,0.00,0.86,0.00,0.0%,0.14,0.00,0.00,0.0%,0.14,0.43,0.14,2.09,0.34,-0.06,6.86,18.14,37.8%,4.71,57.4%,45.6,7.57,56.6%,45.4,7.71,0.29,3.7%,0.71,14.0
1254,Daniel Baier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255,Daniel Bessa,0.11,0.21,0.11,0.00,0.00,0.32,0.11,0.11,0.11,0.18,0.27,1.16,0.63,54.5%,0.09,0.17,18.30,0.00,0.09,0.00,0.00,41.58,49.58,83.9%,695.79,183.37,21.68,24.00,90.4%,14.84,16.42,90.4%,4.11,7.26,56.5%,1.79,3.26,1.79,0.42,4.00,48.32,1.26,0.74,0.11,8.63,0.84,1.58,0.53,0.11,0.42,0.00,37.68,6.63,5.26,2.95,44.74,1.05,0.00,0.42,0.00,0.74,0.42,0.74,3.26,2.74,0.11,0.11,0.11,0.00,0.21,0.42,0.42,0.00,0.00,0.00,0.00,0.00,2.11,1.58,0.53,1.16,0.42,0.84,1.68,50.0%,0.84,19.16,5.58,29.1%,2.95,10.21,6.00,0.74,0.00,0.00,0.74,2.84,1.05,0.00,59.89,1.37,8.42,31.37,25.16,1.68,58.63,0.63,1.26,50.0%,0.74,0.11,45.79,276.42,161.79,7.89,2.84,0.53,1.26,2.00,55.58,45.79,82.4%,6.11,0.11,2.84,1.26,0.32,0.00,0.00,0.00,6.95,0.74,2.53,22.6%,€2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256,Daniel Brosinski,0.11,0.11,0.00,0.11,0.11,0.00,0.00,0.10,0.02,0.14,0.16,0.42,0.00,0.0%,0.00,,31.30,0.11,0.05,+0.01,-0.02,33.55,55.18,60.8%,652.68,369.07,13.51,16.67,81.0%,14.14,21.42,66.0%,5.38,15.30,35.2%,1.58,2.95,1.90,0.53,5.28,38.09,17.09,2.43,0.11,5.28,1.79,4.01,3.48,1.69,1.06,0.11,22.26,11.71,21.21,2.53,39.36,1.58,11.18,0.00,0.11,1.16,2.43,2.11,2.95,2.00,0.84,0.11,0.00,0.00,0.00,0.21,0.00,0.21,0.00,0.00,0.00,0.00,1.06,0.53,0.53,0.42,0.11,0.53,1.69,31.3%,1.16,9.18,2.22,24.1%,3.80,4.11,1.27,2.11,0.00,0.00,1.48,2.53,2.11,0.00,63.41,2.95,16.25,26.80,23.95,0.63,46.64,0.32,0.63,50.0%,0.42,0.11,30.60,159.11,104.24,4.01,2.00,0.21,0.53,0.63,35.35,31.13,88.1%,2.11,0.00,0.32,0.53,0.00,0.00,0.00,0.00,7.39,0.74,1.27,36.8%,"€800Th. Last update: Jun 9, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,Daniel Caligiuri,0.10,0.16,0.00,0.10,0.13,0.13,0.00,0.17,0.08,0.12,0.19,1.44,0.49,34.1%,0.00,0.00,24.30,0.39,0.05,-0.08,-0.08,27.03,40.15,67.3%,523.73,224.77,12.17,14.69,82.8%,9.68,13.38,72.3%,4.59,9.94,46.2%,1.48,2.43,1.08,0.30,3.35,30.90,9.25,3.08,0.07,9.28,1.97,1.67,2.56,1.18,0.98,0.16,19.97,8.89,11.28,5.02,29.81,0.92,3.48,0.16,0.26,0.85,1.51,2.00,3.12,1.44,0.92,0.33,0.07,0.20,0.16,0.33,0.16,0.10,0.03,0.03,0.00,0.00,2.82,1.57,1.18,1.15,0.49,0.98,3.21,30.6%,2.23,20.07,5.58,27.8%,5.97,9.71,4.40,2.16,0.16,0.00,1.25,4.07,1.54,0.00,55.53,2.46,12.23,27.12,19.97,1.48,46.54,2.07,3.28,63.0%,2.26,0.03,32.77,176.82,99.51,4.76,1.64,0.30,2.03,2.16,37.52,28.80,76.7%,4.10,0.00,1.18,2.33,0.10,0.00,0.00,0.00,8.72,1.38,1.74,44.2%,€2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258,Daniel CarriÃ§o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€600Th. Last update: Aug 23, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259,Daniel Ciofani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€300Th. Last update: Jun 24, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,Daniel CongrÃ©,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.03,0.03,0.00,0.03,0.30,0.04,14.3%,0.00,0.00,7.50,0.00,0.09,-0.03,-0.03,33.63,37.92,88.7%,736.80,264.83,9.16,9.84,93.1%,17.60,18.96,92.8%,6.36,7.97,79.8%,0.08,2.25,0.04,0.00,2.08,36.64,1.27,1.19,0.04,3.10,1.23,0.04,0.00,0.00,0.00,0.00,28.08,3.65,6.19,7.85,26.55,2.59,0.08,0.08,0.00,0.81,0.59,0.89,0.34,0.25,0.00,0.00,0.08,0.00,0.00,0.04,0.00,0.00,0.00,0.04,0.00,0.00,1.70,1.10,1.40,0.30,0.00,1.06,1.95,54.3%,0.89,9.46,3.65,38.6%,6.19,3.01,0.25,1.87,0.98,0.00,1.36,3.05,5.34,0.08,48.52,7.00,27.10,23.20,1.15,0.55,47.25,0.04,0.08,50.0%,0.04,0.00,24.98,151.20,86.61,1.78,0.08,0.00,0.13,0.00,29.05,28.46,98.0%,0.13,0.00,0.64,0.51,0.00,0.00,0.04,0.00,7.68,2.08,1.40,59.8%,"€500Th. Last update: Jun 4, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261,Daniel Didavi,0.34,0.23,0.34,0.00,0.00,0.11,0.00,0.28,0.28,0.28,0.55,2.59,1.02,39.1%,0.13,0.33,16.80,0.23,0.11,+0.06,+0.06,28.31,39.14,72.3%,503.91,140.86,12.18,14.66,83.1%,12.63,16.47,76.7%,2.82,5.41,52.1%,1.92,2.48,1.58,0.34,4.40,35.86,3.27,1.13,0.23,6.77,0.68,2.14,0.79,0.34,0.23,0.11,27.63,5.64,5.86,31.69,4.51,1.13,0.79,0.34,0.23,0.45,1.58,1.02,3.16,2.71,0.00,0.23,0.11,0.11,0.00,0.34,0.23,0.00,0.00,0.11,0.00,0.00,1.92,0.68,0.23,1.24,0.45,0.34,0.90,37.5%,0.56,17.37,4.74,27.3%,3.16,6.43,7.78,1.13,0.11,0.00,0.79,2.71,0.68,0.00,51.09,0.79,4.51,25.15,25.15,4.40,47.93,1.13,1.58,71.4%,1.13,0.11,34.62,181.47,95.64,4.51,2.14,0.45,1.35,1.69,48.61,37.22,76.6%,9.14,0.00,1.58,1.80,0.56,0.00,0.00,0.00,5.53,0.90,1.47,38.1%,€1.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,Daniel Dumbravanu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€100Th. Last update: Jun 30, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1263,Daniel Fuzato,,,,,0.00,,,,,,,,,,,,,,,,,,24.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€800Th. Last update: Jun 3, 2021",1.40,5.20,3.80,73.1%,0.40,0.20,0.40,0.40,40.0%,0.00,0.00,0.00,,0.00,0.20,0.00,1.38,0.27,-0.02,4.00,11.40,35.1%,5.60,36.1%,37.0,6.20,41.9%,37.9,5.60,0.20,3.6%,0.20,12.8
1264,Daniel Ginczek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265,Daniel James,0.20,0.12,0.20,0.00,0.00,0.08,0.00,0.21,0.21,0.11,0.32,1.95,0.53,27.1%,0.10,0.38,16.00,0.00,0.11,-0.01,-0.01,18.60,25.57,72.7%,265.26,67.75,11.22,13.66,82.2%,6.04,8.31,72.7%,0.81,1.86,43.5%,0.93,0.65,1.22,0.20,2.35,25.12,0.45,0.04,0.04,4.86,0.45,2.19,0.00,0.00,0.00,0.00,18.92,3.40,3.24,3.20,20.87,0.65,0.28,0.00,0.08,0.36,1.13,0.89,1.86,1.42,0.00,0.04,0.16,0.20,0.04,0.20,0.20,0.00,0.00,0.00,0.00,0.00,1.38,0.89,0.28,0.61,0.49,0.41,1.70,23.8%,1.30,19.25,4.74,24.6%,4.21,7.58,7.46,0.93,0.04,0.00,0.97,2.35,0.65,0.00,37.44,0.77,4.50,14.18,21.96,4.50,37.04,0.89,1.90,46.8%,1.05,0.00,26.74,174.25,105.97,5.84,1.34,1.22,2.19,1.90,38.78,26.83,69.2%,6.12,0.00,1.18,1.78,0.49,0.00,0.04,0.00,5.27,0.81,1.30,38.5%,€18.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1266,Daniel Jebbison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1267,Daniel Langley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€250Th. Last update: Oct 13, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1268,Daniel Maldini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269,Daniel MartÃ­n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,Daniel Molina Orta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€200Th. Last update: Jun 30, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1271,Daniel Opare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€400Th. Last update: Oct 28, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272,Daniel Pacheco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€200Th. Last update: Jun 24, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1273,Daniel Parejo,0.04,0.22,0.04,0.00,0.00,0.12,0.00,0.03,0.03,0.20,0.23,0.59,0.16,26.7%,0.07,0.25,24.90,0.22,0.05,+0.01,+0.01,64.32,74.20,86.7%,1309.25,419.63,24.83,26.82,92.6%,27.35,29.59,92.4%,11.43,16.29,70.2%,1.79,7.45,1.49,0.39,7.09,66.56,7.64,4.22,0.16,9.65,3.91,1.53,3.32,1.26,1.00,0.10,55.85,6.39,11.96,7.11,65.05,1.45,0.08,0.12,0.29,0.92,1.85,1.18,3.28,1.91,1.20,0.02,0.02,0.08,0.06,0.33,0.20,0.10,0.00,0.02,0.02,0.00,1.95,1.36,0.96,0.77,0.22,0.67,1.93,34.7%,1.26,17.11,5.30,31.0%,5.36,8.35,3.40,1.43,0.26,0.00,1.32,3.26,0.92,0.02,81.91,2.59,17.11,50.31,18.47,0.53,74.83,0.79,1.18,66.7%,0.84,0.12,52.95,210.53,99.76,4.17,1.12,0.04,0.47,0.73,62.97,59.76,94.9%,1.12,0.00,0.86,1.79,0.00,0.02,0.00,0.00,8.47,0.53,0.65,45.0%,€9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1274,Daniel PavloviÄ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€100Th. Last update: Oct 5, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1275,Daniel Podence,0.08,0.15,0.08,0.00,0.00,0.23,0.00,0.08,0.08,0.20,0.28,1.43,0.60,42.1%,0.05,0.13,18.00,0.00,0.06,-0.01,-0.01,26.55,36.08,73.6%,472.50,141.00,13.28,16.20,81.9%,9.30,12.45,74.7%,3.30,5.18,63.8%,1.43,2.63,1.58,0.15,3.90,34.50,1.58,0.08,0.15,6.98,1.35,1.80,0.53,0.00,0.15,0.15,23.10,6.45,6.53,4.58,29.33,1.13,0.53,0.23,0.15,0.83,1.73,0.45,3.23,2.33,0.00,0.30,0.08,0.53,0.00,0.30,0.23,0.00,0.08,0.00,0.00,0.00,0.90,0.30,0.45,0.23,0.23,0.38,1.35,27.8%,0.98,14.33,3.60,25.1%,3.98,5.03,5.33,0.45,0.00,0.00,0.83,1.73,0.30,0.00,46.58,0.45,6.60,22.50,22.20,3.53,45.00,2.03,3.53,57.4%,2.33,0.23,36.30,192.68,124.20,6.00,2.18,1.28,1.58,1.73,47.63,35.18,73.9%,5.33,0.00,1.05,2.33,0.15,0.00,0.00,0.00,6.23,0.38,0.90,29.4%,€25.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276,Daniel Sotres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€250Th. Last update: Jun 30, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277,Daniel Sturridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1278,Daniel Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€300Th. Last update: Jun 24, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1279,Daniel Villahermosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€100Th. Last update: Jun 30, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,Daniel Vivian,0.12,0.00,0.12,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,0.58,0.35,60.0%,0.20,0.33,11.00,0.00,0.13,+0.03,+0.03,35.56,40.31,88.2%,827.84,283.09,9.03,10.08,89.7%,19.34,20.62,93.8%,7.07,9.27,76.3%,0.00,1.51,0.00,0.00,1.62,37.64,2.66,2.66,0.00,2.90,2.20,0.00,0.00,0.00,0.00,0.00,30.46,3.13,6.72,4.40,32.66,2.43,0.00,0.23,0.12,0.70,0.70,0.58,0.23,0.00,0.00,0.00,0.12,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.16,1.04,0.70,0.35,0.12,0.35,0.93,37.5%,0.58,6.14,2.66,43.4%,3.01,2.66,0.46,1.39,0.81,0.00,0.81,1.97,5.79,0.12,50.85,9.61,31.27,20.85,1.85,0.70,48.30,0.12,0.23,50.0%,0.12,0.00,28.03,171.43,96.14,2.32,0.23,0.00,0.00,0.58,29.19,29.07,99.6%,0.23,0.00,0.35,0.46,0.00,0.00,0.00,0.00,8.57,1.04,2.43,30.0%,€7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
