,Position,Age,Name,Goals,Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xA,npxG+xA,Shots Total,Shots on target,Shots on target %,Goals/Shot,Goals/Shot on target,Average Shot Distance,Shots from free kicks,npxG/Sh,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Live-ball passes,Dead-ball passes,Passes from Free Kicks,Through Balls,Passes Under Pressure,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Ground passes,Low Passes,High Passes,Passes Attempted (Left),Passes Attempted (Right),Passes Attempted (Head),Throw-Ins taken,Passes Attempted (Other),Passes Offside,Passes Out of Bounds,Passes Intercepted,Passes Blocked,Shot-Creating Actions,SCA (PassLive),SCA (PassDead),SCA (Drib),SCA (Sh),SCA (Fld),SCA (Def),Goal-Creating Actions,GCA (PassLive),GCA (PassDead),GCA (Drib),GCA (Sh),GCA (Fld),GCA (Def),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Contested,% of dribblers tackled,Dribbled Past,Pressures,Successful Pressures,Successful Pressure %,Pressures (Def 3rd),Pressures (Mid 3rd),Pressures (Att 3rd),Blocks,Shots Blocked,Shots Saved,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Dribbles Completed,Dribbles Attempted,Successful Dribble %,Players Dribbled Past,Nutmegs,Carries,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Pass Targets,Passes Received,Passes Received %,Progressive Passes Rec,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials won,Aerials lost,% of Aerials Won,Market value
191,Defender,23,Axel Disasi,0.11,0,0.11,0,0,0.19,0.04,0.1,0.1,0.02,0.12,0.64,0.19,0.294,0.18,0.6,9.1,0,0.16,0.02,0.02,56.46,65.38,0.864,1256.39,359.55,12.72,13.78,0.923,33.65,36.25,0.928,9.71,14.34,0.677,0.11,3.54,0.26,0,3.69,63.01,2.37,1.13,0.04,5.87,1.69,0.15,0,0,0,0,51.42,4.78,9.18,6.17,54.09,2.52,1.24,0.08,0.15,0.94,0.72,0.53,0.3,0.23,0,0,0.08,0,0,0,0,0,0,0,0,0,1.69,1.2,0.83,0.79,0.08,1.02,1.96,0.519,0.94,8.96,4.14,0.462,4.4,4.22,0.34,1.24,0.72,0,1.36,3.05,4.44,0,74.68,6.96,35.16,42.2,2.6,1.02,72.38,0.45,0.49,0.923,0.45,0,50.78,279.82,169.72,4.22,0.23,0.04,0.23,0.19,54.92,53.22,0.969,0.11,0,1.54,0.79,0.15,0,0.04,0.04,9.18,2.79,1.28,0.685,18
195,Foward,28,Ayoze PÃ©rez,0.13,0.26,0.13,0,0,0.07,0.07,0.3,0.3,0.15,0.45,2.22,1.05,0.471,0.06,0.13,15.6,0.07,0.13,-0.17,-0.17,27.63,35.53,0.778,405,93.07,16.39,19.2,0.854,8.43,10.71,0.787,1.76,3.07,0.574,1.96,2.02,1.83,0.33,3.53,33.77,1.76,0.26,0.07,8.62,0.39,1.18,0.46,0.13,0.2,0,26.58,5.09,3.85,3,30.44,1.05,0.07,0.39,0.26,0.46,1.5,2.16,3.66,2.61,0.13,0.26,0.33,0.26,0.07,0.39,0.39,0,0,0,0,0,2.02,1.05,0.46,1.05,0.52,0.39,2.09,0.188,1.7,22.4,6.07,0.271,3.46,11.89,7.05,2.22,0.07,0,1.11,3.14,0.39,0,52.05,0.65,6.4,26.06,23.77,4.11,50.29,1.63,3.4,0.481,1.89,0.26,35.66,174.25,100.32,6.07,2.09,0.46,2.61,2.16,49.51,36.9,0.745,8.23,0,2.16,2.16,0.33,0,0,0,6.4,0.78,2.35,0.25,18
279,Foward,24,Cengiz Ãnder,0.33,0.05,0.27,0.05,0.05,0.11,0.05,0.25,0.21,0.22,0.43,3.26,0.81,0.25,0.08,0.33,18.3,0.05,0.06,0.08,0.07,31.79,44.1,0.721,573.15,165.73,15.57,18.66,0.834,10.85,14.27,0.76,4.39,8.3,0.529,1.9,1.63,2.55,0.81,4.12,39.28,4.83,1.03,0.05,6.18,2.98,3.74,2.93,1.3,0.81,0.22,30.11,5.86,8.14,29.62,12.37,0.6,0.81,0.22,0.11,1.03,1.79,0.6,4.56,2.39,0.98,0.43,0.43,0.22,0.11,0.22,0,0.05,0.05,0,0.11,0,0.54,0.38,0.16,0.22,0.16,0.16,1.25,0.13,1.09,9.17,2.98,0.325,1.68,3.31,4.18,0.71,0.11,0,0.6,1.14,0.43,0,56.85,0.43,4.18,21.27,35.48,5.7,52.24,2.01,3.36,0.597,2.06,0.22,44.27,268.37,146.64,8.79,2.06,2.12,2.33,1.79,54.14,44,0.813,9.06,0.05,0.54,1.68,0.43,0.05,0,0,4.99,0.49,0.33,0.6,18
309,Defender,26,ClÃ©ment Lenglet,0.03,0,0.03,0,0,0.31,0.03,0.05,0.05,0.03,0.08,0.49,0.17,0.357,0.07,0.2,12.5,0,0.11,-0.02,-0.02,78.35,84.73,0.925,1521.16,486.68,28.39,29.47,0.964,39.56,41.19,0.96,9.81,12.97,0.757,0.24,8.32,0.55,0.07,5.34,82.72,2.01,1.42,0.03,6.21,1.73,0.24,0,0,0,0,72.87,4.4,7.45,71.42,8.74,2.53,0.55,0.03,0.21,0.59,1.35,0.9,0.83,0.83,0,0,0,0,0,0.1,0.1,0,0,0,0,0,1.35,0.8,0.8,0.49,0.07,0.38,0.9,0.423,0.52,12.48,4.65,0.372,5.93,5.58,0.97,1.32,0.42,0,1.32,2.67,2.53,0,91.84,8.7,34.63,55.44,8.67,0.76,90.1,0.38,0.52,0.733,0.38,0,69.61,360.8,212.9,7.7,1.91,0.03,0.21,0.17,75.02,74.19,0.989,0.38,0.03,1.73,1.14,0.21,0,0.07,0.03,8.67,2.25,1.56,0.591,18
346,Foward,24,Daniel James,0.2,0.12,0.2,0,0,0.08,0,0.21,0.21,0.11,0.32,1.95,0.53,0.271,0.1,0.38,16,0,0.11,-0.01,-0.01,18.6,25.57,0.727,265.26,67.75,11.22,13.66,0.822,6.04,8.31,0.727,0.81,1.86,0.435,0.93,0.65,1.22,0.2,2.35,25.12,0.45,0.04,0.04,4.86,0.45,2.19,0,0,0,0,18.92,3.4,3.24,3.2,20.87,0.65,0.28,0,0.08,0.36,1.13,0.89,1.86,1.42,0,0.04,0.16,0.2,0.04,0.2,0.2,0,0,0,0,0,1.38,0.89,0.28,0.61,0.49,0.41,1.7,0.238,1.3,19.25,4.74,0.246,4.21,7.58,7.46,0.93,0.04,0,0.97,2.35,0.65,0,37.44,0.77,4.5,14.18,21.96,4.5,37.04,0.89,1.9,0.468,1.05,0,26.74,174.25,105.97,5.84,1.34,1.22,2.19,1.9,38.78,26.83,0.692,6.12,0,1.18,1.78,0.49,0,0.04,0,5.27,0.81,1.3,0.385,18
437,Defender,25,Duje Äaleta-Car,0,0.03,0,0,0,0.23,0.03,0.01,0.01,0.03,0.04,0.2,0.03,0.167,0,0,8.2,0,0.07,-0.01,-0.01,60.27,68.04,0.886,1310.95,425.93,17.56,18.84,0.932,32.08,33.99,0.944,10.16,14.55,0.698,0.2,3.25,0.17,0,2.95,65.56,2.48,2.01,0.17,3.79,2.04,0,0,0,0,0,54.07,4.36,9.62,18,45.89,2.31,0.4,0.2,0.13,1.34,0.74,0.77,0.3,0.27,0.03,0,0,0,0,0.03,0.03,0,0,0,0,0,1.11,0.6,0.74,0.34,0.03,0.47,1.07,0.438,0.6,6.91,2.38,0.345,3.92,2.72,0.27,1.31,0.54,0.03,1.41,2.51,4.49,0.03,76.56,10.22,42.54,37.21,1.44,0.4,74.18,0.07,0.07,1,0.07,0,49.84,246.94,131.3,2.98,0.23,0,0.23,0.07,57.69,56.58,0.981,0.07,0,0.97,0.3,0,0,0,0.03,8.01,2.41,0.74,0.766,18
594,Foward,26,Gelson Martins,0.2,0.15,0.2,0,0,0.05,0,0.19,0.19,0.14,0.33,1.35,0.65,0.481,0.15,0.31,12.1,0,0.14,0.01,0.01,26.18,33.04,0.792,382.07,71.23,14.67,17.07,0.859,9.31,11.66,0.798,1.15,2.05,0.561,1,0.8,0.55,0.2,1.55,32.69,0.35,0.05,0,7.71,0.2,1.2,0,0,0,0,26.33,3.7,3,2.9,27.93,1,0.25,0.4,0.15,0.4,1.05,1.4,2.1,1.6,0,0.15,0.05,0.3,0,0.4,0.3,0,0.05,0,0.05,0,2.4,1.15,0.5,1.4,0.5,0.8,2.45,0.327,1.65,20.57,6.41,0.311,3.45,10.11,7.01,1.45,0.05,0,1.2,3.6,0.35,0,47.4,0.65,5.26,21.37,24.68,4.96,47.1,2.25,4.1,0.549,2.5,0.15,38.29,208.28,108.32,5.46,1.6,1.05,2.4,2.75,49.3,33.19,0.673,7.56,0,0.95,2,0.65,0.05,0,0,7.51,0.7,1.6,0.304,18
762,Defender,29,Jannik Vestergaard,0,0,0,0,0,0.2,0.04,0.08,0.08,0.01,0.09,0.79,0.2,0.25,0,0,9.8,0,0.11,-0.08,-0.08,52.2,60.17,0.868,1116.78,392.42,16.96,18.13,0.935,26.93,29.32,0.918,8.01,11.93,0.671,0.24,3.14,0.35,0,2.71,58.68,1.49,1.37,0.12,8.2,2.24,0.08,0,0,0,0,45.33,4.24,10.6,12.6,43.25,2.63,0.04,0.2,0.2,0.75,1.41,0.79,0.63,0.51,0,0,0.08,0.04,0,0.08,0,0,0,0.04,0.04,0,2.51,1.61,1.81,0.55,0.16,1.3,2.39,0.541,1.1,8.2,3.3,0.402,5.34,2.47,0.39,1.53,0.75,0,1.65,4.16,5.57,0.04,71.67,11.11,39.17,33.6,3.41,1.41,70.26,0.43,0.63,0.688,0.47,0.04,44.39,249.67,133.14,3.73,0.67,0,0.27,0.04,50.32,48.75,0.969,0.08,0,0.71,0.39,0,0.04,0.04,0,9.46,3.65,1.69,0.684,18
823,Foward,29,JoÃ£o Pedro,0.45,0.09,0.31,0.14,0.17,0.14,0,0.38,0.25,0.12,0.37,2.08,0.88,0.42,0.15,0.35,13.2,0,0.12,0.07,0.06,16.02,22.59,0.709,283.2,57.23,7.64,9.94,0.769,5.7,7.76,0.735,2.03,3.12,0.652,0.9,0.95,0.57,0.09,1.63,21.51,1.09,0.17,0.05,5.56,0.62,0.83,0,0,0,0,14.31,4.09,4.19,2.53,16.75,1.3,0.02,0.76,0.12,0.4,0.88,0.54,2.27,1.59,0,0.09,0.24,0.28,0.07,0.21,0.12,0,0.02,0.02,0.05,0,0.52,0.4,0.19,0.24,0.09,0.07,0.54,0.13,0.47,12.04,3.1,0.257,1.7,5.56,4.78,0.8,0.26,0,0.26,0.78,0.8,0,33.53,1.25,3.86,15.76,15.5,4.47,32.44,0.71,1.44,0.492,0.83,0.09,21.39,114.37,51.74,2.37,0.88,0.24,1.87,1.28,41.45,24.51,0.591,5.84,0,1.82,2.74,0.54,0.07,0,0,4.5,2.01,2.96,0.405,18
829,Defender,30,JoÃ«l Matip,0,0.1,0,0,0,0.1,0,0.07,0.07,0.03,0.1,0.86,0.1,0.118,0,0,8.8,0,0.08,-0.07,-0.07,65.99,71.79,0.919,1420.21,402.89,17.04,18.37,0.928,37.39,39.02,0.958,11.24,13.69,0.822,0.2,5.14,0.1,0,4.38,70.41,1.37,1.12,0.05,6.16,1.02,0.05,0,0,0,0,58,6.31,7.48,10.48,55.76,2.9,0.25,0.25,0.1,0.2,1.07,0.71,0.92,0.71,0,0,0.15,0.05,0,0.25,0.15,0,0,0.05,0.05,0,1.37,1.07,0.66,0.61,0.1,0.51,0.71,0.714,0.2,6.41,2.85,0.444,3.51,2.24,0.66,1.17,0.46,0.05,1.17,2.54,4.22,0,81.1,8.09,35.66,48.03,4.32,1.37,79.88,0.36,0.46,0.778,0.36,0,51.03,312.74,202.54,6.72,1.73,0.05,0.2,0.2,60.7,59.12,0.974,0.25,0,0.81,0.61,0,0,0,0,10.58,4.43,1.78,0.713,18
944,Midfielder,28,Kerem Demirbay,0.13,0.1,0.1,0.03,0.03,0.19,0.03,0.16,0.14,0.1,0.24,2.08,0.71,0.338,0.05,0.14,23.4,0.22,0.07,-0.04,-0.04,49.87,64.17,0.777,1004.42,314.01,20.35,23.4,0.87,19.52,22.85,0.854,9.04,15.61,0.579,1.47,6.03,1.09,0.19,6.28,56.86,7.31,2.92,0.13,9.33,4.17,1.19,3.46,1.67,1.25,0.1,41.09,9.39,13.69,50.32,10.42,1.67,0.8,0.35,0.45,0.99,2.12,1.28,2.98,1.67,0.74,0.19,0.19,0.13,0.06,0.29,0.22,0.03,0.03,0,0,0,2.92,2.05,1.19,1.54,0.19,0.93,2.28,0.408,1.35,22.24,8.04,0.362,6.63,11.51,4.1,1.67,0.38,0,1.41,4.33,0.64,0.03,76.99,2.76,15.32,45.51,21.47,1.47,69.97,1.22,2.05,0.594,1.31,0.16,50.54,264.29,134.2,6.35,1.73,0.35,1.35,1.63,56.7,51.86,0.915,2.88,0,2.15,1.38,0.06,0,0,0,10.29,0.71,0.96,0.423,18
986,Defender,24,Kyle Walker-Peters,0,0.04,0,0,0,0.15,0,0.04,0.04,0.08,0.12,0.73,0.18,0.25,0,0,19.4,0,0.05,-0.04,-0.04,41.86,52.2,0.802,694.25,228,21.37,23.63,0.904,16.88,20.75,0.813,3.03,5.63,0.539,0.69,2.08,1.13,0.11,4.27,41.97,10.23,0.62,0.04,7.49,0.4,1.13,0,0,0,0,32.54,10.19,9.46,4.86,35.54,1.68,9.61,0.04,0.07,0.8,1.61,1.72,1.68,1.31,0,0.18,0,0.07,0.11,0.07,0.07,0,0,0,0,0,2.34,1.13,1.68,0.55,0.11,0.88,2.01,0.436,1.13,13.51,4.05,0.3,6.94,4.86,1.72,1.9,0.18,0,1.75,4.09,2.05,0,64.83,3.58,19.03,31.63,19.61,2.74,54.79,1.83,2.74,0.667,1.86,0.04,41.68,259.77,152.02,7.16,2.19,0.84,0.95,1.5,40.62,36.67,0.903,3.14,0,1.5,1.83,0.22,0,0.04,0,9.1,0.88,1.06,0.453,18
1059,Midfielder,25,Lucas Torreira,0,0,0,0,0,0.28,0,0.02,0.02,0.08,0.1,0.43,0.07,0.167,0,0,25.9,0.07,0.05,-0.02,-0.02,47.55,53.79,0.884,963.92,225,16.51,17.93,0.921,22.54,24.66,0.914,7.94,9.85,0.806,0.78,3.83,0.64,0,5.1,51.73,2.06,2.06,0,7.09,1.28,0.14,0,0,0,0,38.55,6.66,8.57,6.94,43.02,2.98,0,0.14,0.14,0.57,0.64,0.57,1.84,1.35,0.07,0,0,0.14,0.28,0,0,0,0,0,0,0,2.34,1.49,0.64,1.42,0.28,0.71,1.56,0.455,0.85,15.24,4.11,0.27,4.04,8.79,2.41,0.57,0,0,1.7,4.04,1.28,0,62.15,2.41,14.53,40.96,9.21,0.64,60.24,0.28,0.5,0.571,0.28,0,36.5,154.2,65.13,2.98,0.85,0.14,0.57,0.71,45.14,42.8,0.948,1.06,0,1.84,1.49,0.14,0,0,0,10.06,1.06,1.35,0.441,18
1074,Defender,24,Luiz Felipe,0,0,0,0,0,0.44,0.04,0.04,0.04,0.02,0.06,0.36,0.08,0.222,0,0,12.8,0,0.13,-0.04,-0.04,57.52,62.85,0.915,1174.52,380.92,17.37,18.66,0.931,30.46,32.44,0.939,8.6,10.38,0.829,0.2,3.72,0.16,0,2.99,60.79,2.06,1.74,0.08,4.04,1.17,0.12,0,0,0,0,53.48,4.28,5.09,6.75,52.88,1.94,0.28,0.16,0.12,0.24,1.37,0.65,0.73,0.57,0,0,0.12,0,0.04,0.04,0,0,0,0.04,0,0,2.5,1.41,1.66,0.81,0.04,0.85,1.7,0.5,0.85,8.16,2.75,0.337,4.48,3.31,0.36,2.1,1.45,0.04,1.86,4.36,3.51,0.04,73.2,11.35,38.98,37.08,2.38,0.4,71.22,0.12,0.12,1,0.12,0,48.03,300.46,162.06,3.51,0.4,0,0.2,0.28,54.09,53.12,0.982,0.12,0,1.29,0.65,0.04,0,0,0,7.07,1.37,1.41,0.493,18
1091,Midfielder,25,Mahmoud Dahoud,0.08,0.12,0.08,0,0,0.25,0.04,0.06,0.06,0.17,0.23,1.45,0.46,0.314,0.06,0.18,23.5,0.08,0.04,0.02,0.02,46.94,56.91,0.825,939.25,228.93,16.88,19.52,0.864,21.14,23.7,0.892,7.78,11,0.707,1.16,4.59,1.12,0.12,4.8,55.71,1.2,0.7,0.25,9.55,1.82,0.5,0.41,0.08,0.17,0.04,45.46,4.26,7.2,6.87,47.52,1.7,0.04,0.29,0.17,1.16,1.53,1.82,2.98,2.27,0.17,0.21,0.21,0.08,0.04,0.5,0.33,0.04,0,0.04,0.04,0.04,2.61,1.78,0.87,1.45,0.29,0.87,2.36,0.368,1.49,19.03,5.96,0.313,5.96,10.17,2.9,2.11,0.29,0,1.49,4.09,1.28,0,67.62,2.73,16.71,39.21,16.75,1.24,66.42,1.49,1.9,0.783,1.53,0,48.97,237.78,110.39,4.72,1.49,0.25,1.16,1.08,51.08,46.94,0.919,2.85,0.04,1.74,1.12,0.04,0.04,0.04,0,10.8,0.74,0.95,0.439,18
1103,Midfielder,28,Manuel Lazzari,0.06,0.14,0.06,0,0,0.09,0.03,0.05,0.05,0.1,0.16,0.92,0.26,0.281,0.06,0.22,20.5,0,0.06,0,0,36.61,44.83,0.817,587.3,158.65,18.82,21.03,0.895,14.4,17.36,0.829,2.27,4.11,0.552,0.83,1.47,1.12,0.57,1.81,36.41,8.42,0.72,0.03,5.32,0.78,2.76,0,0,0,0,27.82,10.55,6.47,5.26,30.43,1.03,7.7,0.09,0.11,0.89,1.29,1.06,1.95,1.47,0.06,0.11,0.09,0.2,0.03,0.32,0.23,0,0,0.03,0.06,0,1.24,0.66,0.66,0.43,0.14,0.66,1.72,0.383,1.06,9.37,2.56,0.273,3.39,3.76,2.21,1.18,0.11,0,1.03,2.27,1.06,0,54.77,1.98,13.05,24.8,21.84,2.39,46.67,1.21,2.18,0.553,1.41,0.17,36.72,250.29,171.44,7.93,2.59,0.83,1.38,0.98,40.78,34.89,0.856,3.28,0,1.03,2.44,0.14,0,0,0.03,6.38,0.6,0.86,0.412,18
1126,Defender,30,Marcos AcuÃ±a,0.06,0.14,0.06,0,0,0.22,0,0.06,0.06,0.13,0.19,0.61,0.17,0.273,0.09,0.33,21.3,0,0.09,0,0,58.05,73.28,0.792,1182.3,476.62,21.67,23.61,0.918,26.43,31.07,0.851,9.32,16.67,0.559,1.66,4.81,1.58,0.8,5.28,60.62,12.66,2.35,0.14,6.8,3.76,4.04,1.27,0.08,1.08,0.03,42.62,11.75,18.91,53.85,8.18,1.49,9.04,0.08,0.17,1.16,2.16,1.16,2.85,1.88,0.66,0.17,0.08,0.03,0.03,0.19,0.08,0.08,0,0.03,0,0,2.6,1.69,1.35,0.77,0.47,0.8,1.55,0.518,0.75,12.55,4.04,0.322,5.53,5,2.02,1.27,0.11,0,1.49,4.09,1.35,0,83.5,2.52,26.31,39.69,22.97,1,71.56,1.47,2.4,0.609,1.55,0.28,55.06,251.76,157.17,5.92,1.49,0.28,1.27,1.44,58.96,55.81,0.947,2.4,0,1.85,1.8,0.06,0,0.06,0,7.99,0.88,1.55,0.364,18
1260,Midfielder,31,Miralem PjaniÄ,0,0.24,0,0,0,0.12,0,0.09,0.09,0.23,0.33,1.59,0.12,0.077,0,0,20.7,0.24,0.06,-0.09,-0.09,85.48,95.98,0.891,1491.29,392.36,39.81,42.01,0.948,35.66,38.22,0.933,8.18,12.09,0.677,2.32,7.69,1.59,0,6.96,89.63,6.35,4.03,0.12,10.38,2.44,0.37,2.32,1.22,0.24,0.12,76.69,9.04,10.26,7.33,85.6,1.59,0,0.61,0.49,0.73,2.08,0.37,4.4,3.3,0.98,0,0.12,0,0,0.24,0,0.24,0,0,0,0,0.98,0.24,0.61,0.12,0.24,0.49,1.22,0.4,0.73,12.82,3.79,0.295,4.52,6.11,2.2,0.37,0,0,1.59,2.56,0.73,0,105.14,2.32,21.37,66.55,23.08,0.85,99.53,1.34,1.83,0.733,1.34,0.12,69.97,293.08,112.59,5.01,1.47,0.24,0.98,1.71,86.46,83.28,0.963,2.56,0,1.22,1.95,0,0,0,0,11.11,0.85,1.1,0.438,18
1271,Defender,21,Mohamed Simakan,0.06,0,0.06,0,0,0.22,0,0.06,0.06,0.01,0.07,0.72,0.22,0.308,0.08,0.25,11.9,0,0.09,-0.01,-0.01,46.95,53.78,0.873,974.97,293.28,13.6,15.14,0.898,24.66,26.15,0.943,7.93,11.12,0.713,0.22,2.7,0.17,0.06,1.93,51.74,2.04,1.87,0,5.12,1.05,0.17,0,0,0,0,41.39,4.73,7.65,5.56,44.09,2.53,0.17,0.44,0.22,0.77,0.77,0.94,0.44,0.33,0,0,0.06,0.06,0,0,0,0,0,0,0,0,1.71,0.94,1.1,0.5,0.11,0.66,1.16,0.571,0.5,11.23,4.51,0.402,6.33,3.74,1.16,1.71,0.77,0,1.87,3.58,3.91,0.06,64.46,6.83,32.31,32.31,3.74,1.27,62.75,0.5,0.66,0.75,0.5,0,42.22,253.32,119.12,3.36,0.83,0.06,0.44,0.44,41.56,40.73,0.98,0.06,0,1.32,1.38,0,0,0.17,0,11.23,2.15,1.43,0.6,18
1307,Foward,27,Nathan Redmond,0.08,0.28,0.08,0,0,0.04,0,0.17,0.17,0.24,0.42,2.1,0.59,0.283,0.04,0.13,18.6,0.04,0.08,-0.1,-0.1,27.71,37.78,0.733,468.32,130.6,13.44,16.65,0.807,10.9,14.31,0.762,2.46,4.52,0.544,1.94,1.74,1.98,0.56,3.81,35.25,2.54,0.12,0.16,7.93,0.63,2.1,0.56,0.2,0.28,0,25.85,5.83,6.11,2.54,31.84,1.27,1.23,0.32,0.16,0.59,1.94,1.74,3.53,2.5,0.16,0.44,0.24,0.12,0.08,0.28,0.24,0.04,0,0,0,0,1.27,0.71,0.48,0.56,0.24,0.36,1.11,0.321,0.75,19.86,5.47,0.275,4.56,8.09,7.22,1.82,0.08,0,1.15,2.42,0.67,0,50,0.83,6.5,23.43,24.26,4.04,47.46,1.94,3.65,0.533,2.22,0.16,35.29,212.15,113.87,6.22,2.22,0.99,1.51,1.31,48.85,35.52,0.727,6.03,0,1.67,1.07,0.16,0,0.04,0,6.03,0.71,2.3,0.237,18
1494,Defender,20,Rayan AÃ¯t Nouri,0,0.1,0,0,0,0.1,0,0.04,0.04,0.06,0.1,0.92,0.31,0.333,0,0,17.8,0,0.04,-0.04,-0.04,41.75,52.56,0.794,702.02,210.02,20.8,22.69,0.916,17.47,20.64,0.846,3.02,6.86,0.44,0.77,1.74,0.82,0.36,2.66,42.62,9.94,0.56,0.05,5.94,1.13,2.31,1.18,0.26,0.67,0.2,32.58,11.22,8.76,36.98,5.17,1.69,8.2,0.1,0.1,0.77,1.13,1.54,1.95,0.97,0.36,0.51,0,0.05,0.05,0.15,0.05,0.05,0.05,0,0,0,2.97,1.49,1.9,0.82,0.26,1.02,2,0.513,0.97,18.03,5.89,0.327,10.19,5.07,2.77,1.54,0,0,1.28,4.25,2.25,0,66.23,2.56,19.87,28.69,21.72,2.1,56.4,2.31,3.94,0.584,2.46,0.1,42.62,205.51,136.56,6.86,1.74,0.97,1.28,1.69,43.85,40.16,0.916,2.31,0,0.87,1.33,0.05,0,0,0,7.17,0.87,1.23,0.415,18
1506,Midfielder,26,Renato Tapia,0,0.03,0,0,0,0.45,0,0.03,0.03,0.03,0.05,0.59,0.21,0.353,0,0,21.7,0,0.04,-0.03,-0.03,46.66,56.71,0.823,997.82,215.94,15.42,17.41,0.886,20.73,23.17,0.895,9.56,14.24,0.672,0.35,2.83,0.42,0,2.9,54.58,2.13,2.02,0.03,6.42,2.62,0.1,0,0,0,0,39.78,6.18,10.75,6.63,45.61,2.55,0.1,0.38,0.17,1.4,0.98,2.13,0.8,0.66,0,0,0,0.1,0.03,0.07,0.07,0,0,0,0,0,2.9,1.99,1.47,1.26,0.17,0.84,2.9,0.289,2.06,20.1,6.25,0.311,7.36,10.57,2.16,2.58,0.45,0,2.13,5.03,3.42,0.1,69.48,4.15,24.15,43.76,5.83,0.52,67.74,0.52,0.63,0.833,0.52,0,42.16,201.08,113.1,3.7,0.94,0,0.31,0.84,46.06,43.8,0.951,0.45,0,2.27,1.92,0,0,0,0,11.38,2.23,1.78,0.557,18
1523,Defender,26,Rob Holding,0,0.04,0,0,0,0.04,0,0.04,0.04,0.01,0.04,0.67,0.11,0.167,0,0,12.1,0,0.06,-0.04,-0.04,51.3,57.31,0.895,1160.94,339.72,12.59,13.26,0.95,28.12,29.6,0.95,10.4,13.93,0.747,0.15,4.23,0.19,0,3.42,56.01,1.3,0.93,0,4.27,1.78,0.15,0,0,0,0,45.54,3.75,8.02,6.61,47.51,1.93,0.37,0.19,0.07,1.23,0.71,0.74,0.45,0.41,0,0,0,0,0.04,0.07,0.07,0,0,0,0,0,1.49,0.97,1,0.26,0.22,0.33,0.82,0.409,0.48,9.4,3.16,0.336,5.42,3.16,0.82,2.12,1.37,0,1.15,2.64,5.98,0,68.94,11.03,36.66,33.8,2.82,0.93,67.64,0.3,0.33,0.889,0.3,0,46.5,237.2,136.76,3.12,0.26,0,0.15,0.41,49.7,48.44,0.975,0.07,0,1,0.26,0.07,0,0,0.04,7.61,2.64,2.04,0.563,18
1547,Foward,30,Rodrigo,0.4,0.1,0.35,0.05,0.05,0.35,0,0.34,0.3,0.24,0.53,2.57,0.99,0.385,0.13,0.35,17,0,0.12,0.06,0.05,26.9,35.7,0.753,486,120.96,12.91,16.12,0.801,10.09,12.31,0.819,3.26,5.09,0.641,2.08,2.57,1.38,0.45,3.31,34.22,1.48,0.35,0.4,7.42,1.38,1.24,0.25,0.1,0.15,0,22.95,7.07,5.69,28.58,3.76,1.78,0.25,0.4,0,0.49,2.13,0.45,3.96,3.26,0.1,0.25,0.2,0.05,0.1,0.45,0.25,0,0.1,0.05,0.05,0,1.29,0.84,0.59,0.4,0.3,0.2,1.14,0.174,0.94,16.66,4.7,0.282,2.67,7.71,6.28,0.45,0,0,0.74,2.03,1.09,0,47.97,1.19,6.87,23.29,20.77,4.15,46.53,0.89,1.73,0.514,0.99,0,31.99,159.43,65.87,4.3,1.34,0.49,2.62,1.58,51.28,36,0.702,8.95,0,1.19,1.14,0.25,0,0,0,6.13,1.43,2.13,0.403,18
