,Age,Foward,Midfielder,Defender,Goals,Assists,npxG+xA,Passes Completed,Key Passes,Passes into Final Third,Live-ball passes,Through Balls,Ground passes,Shot-Creating Actions,Goal-Creating Actions,Tackles Won,Dribblers Tackled,% of dribblers tackled,Successful Pressures,Successful Pressure %,Blocks,Dribbles Completed,Progressive Carries,Dispossessed,Ball Recoveries,Market value
274,27,0,0,1,0.0,0.06,0.07,31.34,0.65,2.64,34.92,0.03,20.74,1.06,0.06,1.09,0.68,0.41100000000000003,3.26,0.27,1.88,0.88,2.23,0.41,9.55,3.2
275,25,1,0,0,0.17,0.0,0.31,17.72,1.03,0.34,21.17,0.0,16.18,2.41,0.0,0.34,0.34,1.0,4.47,0.268,0.52,1.2,3.96,2.93,6.02,0.85
276,24,1,0,0,0.54,0.0,0.42,13.9,0.54,1.48,22.26,0.0,10.66,1.35,0.0,1.08,0.4,0.429,5.94,0.284,0.4,0.94,2.43,2.29,4.99,3.5
277,30,0,0,1,0.0,0.15,0.14,41.67,0.76,3.48,44.32,0.0,32.67,1.66,0.38,0.91,0.68,0.34600000000000003,3.33,0.278,1.89,0.53,5.22,0.98,8.02,6.0
278,24,1,0,0,0.12,0.12,0.27,17.46,1.05,1.76,23.32,0.12,16.05,2.23,0.23,0.82,0.35,0.14300000000000002,7.15,0.314,1.64,1.17,3.63,2.58,6.91,1.7
279,24,1,0,0,0.33,0.05,0.43,31.79,1.9,1.63,39.28,0.05,30.11,4.56,0.22,0.38,0.16,0.13,2.98,0.325,0.71,2.01,8.79,1.79,4.99,18.0
280,32,0,0,1,0.03,0.1,0.14,64.67,0.88,4.41,68.48,0.1,55.33,1.64,0.3,1.18,0.86,0.531,4.08,0.287,1.81,0.38,4.48,0.45,8.38,13.0
281,28,0,0,1,0.1,0.03,0.12,26.22,0.55,1.85,29.75,0.0,18.68,1.17,0.03,0.52,0.62,0.5429999999999999,2.33,0.23,2.1,0.55,2.69,0.74,6.09,2.5
282,21,1,0,0,0.38,0.25,0.27,14.73,0.76,1.02,20.95,0.13,14.73,1.4,0.25,0.38,0.38,0.273,5.84,0.247,0.63,1.02,2.92,2.67,4.57,2.4
283,32,0,1,0,0.0,0.0,0.06,54.11,0.86,6.15,60.75,0.25,46.64,1.85,0.08,1.64,0.86,0.273,7.59,0.337,2.17,0.57,2.38,0.98,11.44,6.0
